"title","text","website","news-link","image"
"Six Lessons We've Learned From Covid That Will Help Us Fight the Next Pandemic","No one answer can explain everything, and Amy Acton, former director of the Ohio Department of Health, thinks the U.S. needs to establish a 9/11-style commission to study the pandemic response and improve preparedness going forward.","Smithsonian Magazine","https://www.smithsonianmag.com/science-nature/six-lessons-weve-learned-from-covid-that-will-help-us-fight-the-next-pandemic-180981371/","https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fth-thumbnailer.cdn-si-edu.com%2F6vGT6QgNuxFTw20JLdcuMmiRuvw%3D%2Ffit-in%2F1600x0%2Ffilters%3Afocal(800x602%3A801x603)%2Fhttps%253A%252F%252Ftf-cmsv2-smithsonianmag-media.s3.amazonaws.com%252Ffiler_public%252F45%252Fd6%252F45d60774-500f-4b3c-b4f1-b61a186af782%252Fgettyimages-1360580515_web.jpg&f=1&h=110&nofb=1&ipt=562bf79edaa4a3e64f745b42944296002fddfc2ee11412b49788dd6768c47615&ipo=news"
"Actor Akash Jagga reunites with his Sasural Simar ka 2 co-star Tanya Sharma","Akash Jagga recently reunited with his Sasural Simar Ka 2 co-star Tanya Sharma. The two shared a picture from their reunion. The second season of the","Indiatimes","https://timesofindia.indiatimes.com/tv/news/hindi/actor-akash-jagga-reunites-with-his-sasural-simar-ka-2-co-star-tanya-sharma/articleshow/96460781.cms","https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fstatic.toiimg.com%2Fthumb%2Fmsid-96460762%2Cwidth-1070%2Cheight-580%2Coverlay-toi_sw%2Cpt-32%2Cy_pad-40%2Cresizemode-75%2Cimgsize-36608%2F96460762.jpg&f=1&h=110&nofb=1&ipt=b632cac35477c2ca8958982330cf61896289f0d621b4c1a2aee230d1570a9213&ipo=news"
"Sasural Simar Ka 2","Gitanjali Devi asks Simar Bhardwaj to find the ideal bride for her grandson. Simar's quest ends when she meets her namesake, Simar Narayan, who dreams of making it ...","Sky","https://www.sky.com/watch/title/series/cf672175-9a4e-44fc-947b-d9669bede30d/sasural-simar-ka-2-cf672175-9a4e-44fc-947b-d9669bede30d/episodes/season-1/episode-536",""
"Sasural Simar Ka Fame Dipika Kakar To Welcome A Baby With Shoaib Ibrahim 4 Years Into Their Marriage?","Sasural Simar Ka Actress Dipika Kakar Rumoured To Be Pregnant ( Photo Credit - Instagram ) Television actors Dipika Kakar and Shoaib Ibrahim became a fan favourite ever since the time they shared screen space in the popular serial Sasural Simar Ka.","Koimoi","https://www.koimoi.com/television/sasural-simar-ka-fame-dipika-kakar-to-welcome-a-baby-with-shoaib-ibrahim-4-years-into-their-marriage/",""
"'Don't treat our silence as a sign of weakness': Sheezan's sisters seek 'privacy'","Shafaq became popular with the mythological show 'Mahabharat' and Falaq has also appeared in serials, notably 'Sasural Simar Ka'.","Mid Day","https://www.mid-day.com/entertainment/television-news/article/dont-treat-our-silence-as-a-sign-of-weakness-sheezans-sisters-seek-privacy-23262517","https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fimages.mid-day.com%2Fimages%2Fimages%2F2022%2Fdec%2FTunisha-Sharma-ui_d.jpg&f=1&h=110&nofb=1&ipt=0d4e38a8085bc2fd270e58bfd7d0ae833d1a9fd05b6bb20a3328e2e2a5ba4e17&ipo=news"
"Watch: Bride Takes A Break While Getting Ready For Her Wedding To Feed Her Pet Dog","Posted by a makeup artist, Simar K on Instagram, the now-viral video shows a bride named Divya feeding her pet dog Buzo biryani. The bride decided to feed her pooch biryani with her hands.","NDTV","https://www.ndtv.com/offbeat/watch-bride-takes-a-break-while-getting-ready-for-her-wedding-to-feed-her-pet-dog-3587055",""
"HT reviewer Simar Bhasin picks her favourite read of 2022","As a reader and reviewer, this year was characterized by the different short story collections by a range of writers from across the globe. From Carlo Pizzati's humorous A History Of Objects to ...","Hindustan Times","https://www.hindustantimes.com/books/ht-reviewer-simar-bhasin-picks-her-favourite-reads-of-2022-101671793839212.html",""
"TV actress who got trolled for their choice of life partner","Let's have a look at the television celebrities who got brutally trolled for their choice of life partners. at India TV News","India TV","https://www.indiatvnews.com/web-stories/entertainment/tv-actress-who-got-trolled-for-their-choice-of-life-partner-devoleena-bhattacharjee-shweta-tiwari-ankita-lokhande-2022-12-19-832494",""
"Amid Dipika's Pregnancy Rumours, Hubby Shoaib Trolled For Copying SRK; Watch His Besharam Rang Video Here","Dipika Kakars husband and TV star, Shoaib Akhtar got heavily trolled on social media for performing on the Pathaan song Beshrama Rang, which features Deepika Padukone and Shah Rukh Khan. The netizens were not impressed with him for copying the superstar.","Hot Pics","https://www.filmibeat.com/television/news/2022/amid-dipika-kakar-pregnancy-hubby-shoaib-ibrahim-trolled-copying-shah-rukh-khan-besharam-rang-video-344801.html","https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.filmibeat.com%2Fimg%2F1200x60x675%2F2022%2F12%2Fsocialshoaib-1671808652.jpg&f=1&h=110&nofb=1&ipt=db3214426741a3f7c0191f0bbc764c1f8802dcfb672cebafbbb23d404327851c&ipo=news"
"Who are Falaq Naaz and Shafaq Naaz, actresses and sisters of Sheezan Khan, and why they are not on talking terms","Shafaq Naaz and Falaq Naaz, sisters of Sheezan Khan, are both actresses themselves and reportedly have had no contact with each other for years","DNA India on MSN.com","https://www.msn.com/en-in/entertainment/other/who-are-falaq-naaz-and-shafaq-naaz-actresses-and-sisters-of-sheezan-khan-and-why-they-are-not-on-talking-terms/ar-AA15LV1C","https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fcdn.dnaindia.com%2Fsites%2Fdefault%2Ffiles%2Fstyles%2Fhalf%2Fpublic%2F2022%2F12%2F29%2F2563540-untitled-design-9.png&f=1&h=110&nofb=1&ipt=85dce09ecaecb1b1b5c147a48caa44d337cf81fdc5c0c159e119c615ae1f8423&ipo=news"
