"User Input","Google Images","Videos","Title","Link","Website"
""kulwinder"","https://www.google.com/search?tbm=isch&q="kulwinder"","https://www.google.com/search?tbm=vid&q="kulwinder"","Kulwinder Billa (Official Video) The Boss | Latest Punjabi Songs 2022","https://www.youtube.com/watch%3Fv%3DJWEkWMuPqPQ","www.youtube.com"
""kulwinder"","https://www.google.com/search?tbm=isch&q="kulwinder"","https://www.google.com/search?tbm=vid&q="kulwinder"","Uche Uche Paunche (Full Video) - Latest Punjabi Song 2022","https://www.youtube.com/watch%3Fv%3DWkv87-XY7zc","www.youtube.com"
""kulwinder"","https://www.google.com/search?tbm=isch&q="kulwinder"","https://www.google.com/search?tbm=vid&q="kulwinder"","ADORE YOU (Official Video) Kulwinder Billa | Latest Punjabi Songs ...","https://www.youtube.com/watch%3Fv%3DzEnLwKItBDE","www.youtube.com"
""kulwinder"","https://www.google.com/search?tbm=isch&q="kulwinder"","https://www.google.com/search?tbm=vid&q="kulwinder"","Chette Aundi Tu - Kulwinder Billa | Mandy Takhar | Shipra Goyal","https://www.youtube.com/watch%3Fv%3DE21FPIsgfng","www.youtube.com"
""kulwinder"","https://www.google.com/search?tbm=isch&q="kulwinder"","https://www.google.com/search?tbm=vid&q="kulwinder"","Kulwinder Billa - Wikipedia","https://en.wikipedia.org/wiki/Kulwinder_Billa","en.wikipedia.org"
""kulwinder"","https://www.google.com/search?tbm=isch&q="kulwinder"","https://www.google.com/search?tbm=vid&q="kulwinder"","Best of Kulwinder Billa Playlist - Only the Best Songs! @WynkMusic","https://wynk.in/music/playlist/best-of-kulwinder-billa/bb_1466489893691","wynk.in"
""kulwinder"","https://www.google.com/search?tbm=isch&q="kulwinder"","https://www.google.com/search?tbm=vid&q="kulwinder"","Kulwinder Kally (@kulwinder_kally) • Instagram photos and videos","https://www.instagram.com/kulwinder_kally/%3Futm_source%3Dig_embed%26hl%3Den","www.instagram.com"
""kulwinder"","https://www.google.com/search?tbm=isch&q="kulwinder"","https://www.google.com/search?tbm=vid&q="kulwinder"","Kulwinder Billa - Home | Facebook","https://www.facebook.com/KulwinderBillaOfficial/","www.facebook.com"
""kulwinder"","https://www.google.com/search?tbm=isch&q="kulwinder"","https://www.google.com/search?tbm=vid&q="kulwinder"","Kulwinder Kaur - Google Scholar","https://scholar.google.co.in/citations%3Fuser%3D_d50adAAAAAJ%26hl%3Den","scholar.google.co.in"
""kulwinder"","https://www.google.com/search?tbm=isch&q="kulwinder"","https://www.google.com/search?tbm=vid&q="kulwinder"","Kulwinder Billa - IMDb","https://www.imdb.com/name/nm9449729/","www.imdb.com"
