"name","id","id_link","profile_pic_link","description"
"Narendra Modi","@narendramodi","https://twitter.com/narendramodi","https://pbs.twimg.com/profile_images/1565985672501927936/d-r-h241_normal.jpg","Prime Minister of India"
"Lalit Kumar Modi","@LalitKModi","https://twitter.com/LalitKModi","https://pbs.twimg.com/profile_images/1570834540234424321/RBb1BafQ_normal.jpg","Founder 
@IPL
 President Modi Enterprises http://modi.com"
"Followed by Narendra Modi","@PMOIndia","https://twitter.com/PMOIndia","https://pbs.twimg.com/profile_images/1134090740592627712/0Fp-U5-p_normal.png","Office of the Prime Minister of India"
"Narendra Modi Fan/Bhakt/Follower/Supporter","@NarendraModi1FC","https://twitter.com/NarendraModi1FC","https://pbs.twimg.com/profile_images/1199598775217475585/GuJwZ_vB_normal.jpg","Narendra Modi Fan. Parody Account. Hindu. Support Prime Minister of India PM Modi. #NarendraModi. #MannKiBaat PMModi NaMo SwachhBharat JaiShriRam JaiHind BJP"
"Followed by Narendra Modi","@narendramodi_in","https://twitter.com/narendramodi_in","https://pbs.twimg.com/profile_images/2548637061/5xk4yfopm3b80c9pdp9l_normal.jpeg","Twitter account of http://narendramodi.in – Shri Narendra Modi's personal website & the Narendra Modi Mobile App."
"Followed by Narendra Modi","@SushilModi","https://twitter.com/SushilModi","https://pbs.twimg.com/profile_images/1554758708080431104/oql_thEo_normal.jpg","Member of Parliament, Rajya Sabha & Former Deputy Chief Minister, Bihar"
"Followed by Narendra Modi","@ModiUFC","https://twitter.com/ModiUFC","https://pbs.twimg.com/profile_images/1177621254951583745/a4-ETlUQ_normal.jpg","#MUFC = Modi United Fan Club / Shri Narendra Modi Fan Club / Man Of Developing India / VIKAS PURUSH / Followed by Shri 
@NarendraModi"
"Narendra Modi fan","@narendramodi177","https://twitter.com/narendramodi177","https://pbs.twimg.com/profile_images/1570833916260683776/aBtZzZd__normal.jpg","Prime Minister of India Fan Page Club."
"NarendraModi App","@NamoApp","https://twitter.com/NamoApp","https://pbs.twimg.com/profile_images/1177141415974850560/jt-K71d0_normal.png","Official App of PM of India, Narendra Modi. It brings to you latest information, instant updates & helps you contribute towards various tasks"
"Modi Army","@Modiarmy","https://twitter.com/Modiarmy","https://pbs.twimg.com/profile_images/1554730727903637504/JlHDGw6u_normal.jpg","Army of Prime Minister 
@narendramodi
 || We are Proud Hindu || Modi ji for 2024 || Queries are always welcome ||"
"ഭീമസേനൻ - The diehard supporter of PM NarendraModi","@IndianPatriotOM","https://twitter.com/IndianPatriotOM","https://pbs.twimg.com/profile_images/1213171592768847873/kgOZmY2x_normal.jpg","One India n India First  ലോകസമസ്ത: സുഖിനോ ഭവന്തു: , മൊട കണ്ടാ എടപെടും ! സാഹിത്യ കുതുകി, പുസ്തക പ്രിയൻ, ധർമ്മ രക്ഷകൻ ! മനുഷ്യ സ്നേഹി....ഗദായുദ്ധ പ്രിയൻ "
"Narendra Modi Fan Club India","@narendramodi2O","https://twitter.com/narendramodi2O","https://pbs.twimg.com/profile_images/1194910044317339649/iceEskOt_normal.jpg"," Largest Fan Club of 
@narendramodi
 ji  Modi Once Again in 2024   Dm to share your post. #EkBarPhirModiSarkar #NarendraModi #NarendraModi"
"Followed by Narendra Modi","@i_gauravvsoni","https://twitter.com/i_gauravvsoni","https://pbs.twimg.com/profile_images/1584095991971532801/fqOnmolB_normal.jpg","Fan of our Hon. PM Shri 
@narendramodi
 Ji, ABVP, Social Media Activist, founder Member of Sevak Foundation 
@SEVAK_F
 
@Igauravvsoni"
"Saket Modi","@SaketModi_","https://twitter.com/SaketModi_","https://pbs.twimg.com/profile_images/1417597629010042881/RPVfzZqj_normal.png","Co Founder & CEO 
@SafeCRQ"
"Modi Story","@themodistory","https://twitter.com/themodistory","https://pbs.twimg.com/profile_images/1505855703017492480/LSutlmC__normal.jpg","An initiative to bring forward Narendra Modi’s inspiring life story, through the eyes of those who have caught a glimpse into his life."
"Narendra Modi fan","@narendramodi177","https://twitter.com/narendramodi177","https://pbs.twimg.com/profile_images/1570833916260683776/aBtZzZd__normal.jpg","Prime Minister of India Fan Page Club."
"NarendraModi App","@NamoApp","https://twitter.com/NamoApp","https://pbs.twimg.com/profile_images/1177141415974850560/jt-K71d0_normal.png","Official App of PM of India, Narendra Modi. It brings to you latest information, instant updates & helps you contribute towards various tasks"
"Modi Army","@Modiarmy","https://twitter.com/Modiarmy","https://pbs.twimg.com/profile_images/1554730727903637504/JlHDGw6u_normal.jpg","Army of Prime Minister 
@narendramodi
 || We are Proud Hindu || Modi ji for 2024 || Queries are always welcome ||"
"ഭീമസേനൻ - The diehard supporter of PM NarendraModi","@IndianPatriotOM","https://twitter.com/IndianPatriotOM","https://pbs.twimg.com/profile_images/1213171592768847873/kgOZmY2x_normal.jpg","One India n India First  ലോകസമസ്ത: സുഖിനോ ഭവന്തു: , മൊട കണ്ടാ എടപെടും ! സാഹിത്യ കുതുകി, പുസ്തക പ്രിയൻ, ധർമ്മ രക്ഷകൻ ! മനുഷ്യ സ്നേഹി....ഗദായുദ്ധ പ്രിയൻ "
"Narendra Modi Fan Club India","@narendramodi2O","https://twitter.com/narendramodi2O","https://pbs.twimg.com/profile_images/1194910044317339649/iceEskOt_normal.jpg"," Largest Fan Club of 
@narendramodi
 ji  Modi Once Again in 2024   Dm to share your post. #EkBarPhirModiSarkar #NarendraModi #NarendraModi"
"Followed by Narendra Modi","@i_gauravvsoni","https://twitter.com/i_gauravvsoni","https://pbs.twimg.com/profile_images/1584095991971532801/fqOnmolB_normal.jpg","Fan of our Hon. PM Shri 
@narendramodi
 Ji, ABVP, Social Media Activist, founder Member of Sevak Foundation 
@SEVAK_F
 
@Igauravvsoni"
